seed,k,N,depth,xcoord,dist
0,1,1024,16,0.5,0.29806795716285706
0,1,1024,17,0.53125,0.3077915906906128
0,1,1024,18,0.5625,0.334292471408844
0,1,1024,19,0.59375,0.36226898431777954
0,1,1024,20,0.625,0.39245837926864624
0,1,1024,21,0.65625,0.4139213263988495
0,1,1024,22,0.6875,0.47155264019966125
0,1,1024,23,0.71875,0.4229337275028229
0,1,1024,24,0.75,0.39986589550971985
0,1,1024,25,0.78125,0.4641752541065216
0,1,1024,26,0.8125,0.449482262134552
0,1,1024,27,0.84375,0.46526193618774414
0,1,1024,28,0.875,0.5277574062347412
0,1,1024,29,0.90625,0.5464364290237427
0,1,1024,30,0.9375,0.5245926976203918
0,1,1024,31,0.96875,0.5422798991203308
0,1,1024,32,1.0,0.5341649651527405
0,2,2048,16,0.25,0.28098854422569275
0,2,2048,17,0.265625,0.3233894407749176
0,2,2048,18,0.28125,0.34255287051200867
0,2,2048,19,0.296875,0.35003629326820374
0,2,2048,20,0.3125,0.37332823872566223
0,2,2048,21,0.328125,0.36875781416893005
0,2,2048,22,0.34375,0.40426909923553467
0,2,2048,23,0.359375,0.39982926845550537
0,2,2048,24,0.375,0.3882544934749603
0,2,2048,25,0.390625,0.3892684578895569
0,2,2048,26,0.40625,0.4429025650024414
0,2,2048,27,0.421875,0.43893712759017944
0,2,2048,28,0.4375,0.4452575743198395
0,2,2048,29,0.453125,0.4376385509967804
0,2,2048,30,0.46875,0.43205639719963074
0,2,2048,31,0.484375,0.4298321604728699
0,2,2048,32,0.5,0.4637366831302643
0,3,3072,16,0.16666666666666666,0.14891017973423004
0,3,3072,17,0.17708333333333334,0.1488332599401474
0,3,3072,18,0.1875,0.15527580678462982
0,3,3072,19,0.19791666666666666,0.15461459755897522
0,3,3072,20,0.20833333333333334,0.17282040417194366
0,3,3072,21,0.21875,0.1811944991350174
0,3,3072,22,0.22916666666666666,0.18980306386947632
0,3,3072,23,0.23958333333333334,0.19041383266448975
0,3,3072,24,0.25,0.190927192568779
0,3,3072,25,0.2604166666666667,0.19753414392471313
0,3,3072,26,0.2708333333333333,0.19567173719406128
0,3,3072,27,0.28125,0.19245287775993347
0,3,3072,28,0.2916666666666667,0.2014077603816986
0,3,3072,29,0.3020833333333333,0.20323728024959564
0,3,3072,30,0.3125,0.2177095115184784
0,3,3072,31,0.3229166666666667,0.2145782858133316
0,3,3072,32,0.3333333333333333,0.24305716156959534
0,4,4096,16,0.125,0.14044089615345
0,4,4096,17,0.1328125,0.15433169901371002
0,4,4096,18,0.140625,0.1632276177406311
0,4,4096,19,0.1484375,0.16239584982395172
0,4,4096,20,0.15625,0.1744283139705658
0,4,4096,21,0.1640625,0.18319350481033325
0,4,4096,22,0.171875,0.2108098268508911
0,4,4096,23,0.1796875,0.19822993874549866
0,4,4096,24,0.1875,0.19717098772525787
0,4,4096,25,0.1953125,0.2019808292388916
0,4,4096,26,0.203125,0.178105428814888
0,4,4096,27,0.2109375,0.18811093270778656
0,4,4096,28,0.21875,0.1804657131433487
0,4,4096,29,0.2265625,0.19205418229103088
0,4,4096,30,0.234375,0.19571539759635925
0,4,4096,31,0.2421875,0.2021828293800354
